Name,Stars,City,Country,Cuisine,Chef,Price,Website,Michelin Guide page,Address
Alliance,2 Stars,Paris,France,"Modern Cuisine, Creative",,€€€€,https://www.restaurant-alliance.fr/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alliance,"5 rue de Poissy, Paris, 75005, France"
Blanc,2 Stars,Paris,France,Creative,,€€€€,https://blanc-paris.com/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/blanc-1211547,"52 rue de Longchamp, Paris, 75116, France"
David Toutain,2 Stars,Paris,France,Creative,David Toutain,€€€€,https://www.davidtoutain.com/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/david-toutain,"29 rue Surcouf, Paris, 75007, France"
Guy Savoy,2 Stars,Paris,France,Modern Cuisine,,€€€€,https://www.guysavoy.com,https://guide.michelin.com/en/ile-de-france/paris/restaurant/guy-savoy,"11 quai de Conti, Paris, 75006, France"
Hakuba,2 Stars,Paris,France,"Japanese, Creative",,€€€€,https://www.chevalblanc.com/fr/maison/paris/restaurants-et-bars/hakuba/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/hakuba,"Cheval Blanc Paris, 8 quai du Louvre, Paris, 75001, France"
L'Abysse Paris,2 Stars,Paris,France,"Japanese, Creative",,€€€€,https://www.yannick-alleno.com/les-etablissements-du-groupe/abysse-paris,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-abysse-paris,"8 avenue Dutuit, Paris, 75008, France"
L'Ambroisie,2 Stars,Paris,France,Classic Cuisine,,€€€€,https://www.ambroisie-paris.com/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-ambroisie,"9 place des Vosges, Paris, 75004, France"
L'Oiseau Blanc,2 Stars,Paris,France,Creative,,€€€€,https://www.peninsula.com/fr/paris/hotel-fine-dining/french-rooftop-loiseau-blanc,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-oiseau-blanc,"The Peninsula Paris, 19 avenue Kléber, Paris, 75116, France"
L'Orangerie,2 Stars,Paris,France,Modern Cuisine,,€€€€,https://www.fourseasons.com/fr/paris/dining/restaurants/l-orangerie/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-orangerie505878,"Four Seasons George V, 31 avenue George-V, Paris, 75008, France"
La Scène,2 Stars,Paris,France,Modern Cuisine,,€€€€,https://www.la-scene.paris/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/la-scene,"32 avenue Matignon, Paris, 75008, France"
Le Clarence,2 Stars,Paris,France,Creative,,€€€€,https://www.le-clarence.paris/la-table/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-clarence,"31 avenue Franklin-D.-Roosevelt, Paris, 75008, France"
Le Grand Restaurant - Jean-François Piège,2 Stars,Paris,France,Creative,Jean-François Piège,€€€€,https://jeanfrançoispiege.com/le-grand-restaurant,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-grand-restaurant-jean-francois-piege,"7 rue d'Aguesseau, Paris, 75008, France"
Le Jules Verne,2 Stars,Paris,France,Modern Cuisine,,€€€€,https://www.restaurants-toureiffel.com/fr/restaurant-jules-verne.html,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-jules-verne,"Tour Eiffel - 6 avenue Gustave-Eiffel, Paris, 75007, France"
Le Taillevent,2 Stars,Paris,France,Classic Cuisine,,€€€€,https://www.letaillevent.com/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-taillevent,"15 rue Lamennais, Paris, 75008, France"
Maison Rostang,2 Stars,Paris,France,Classic Cuisine,,€€€€,https://www.maisonrostang.com,https://guide.michelin.com/en/ile-de-france/paris/restaurant/maison-rostang,"20 rue Rennequin, Paris, 75017, France"
Marsan par Hélène Darroze,2 Stars,Paris,France,Modern Cuisine,Hélène Darroze,€€€€,https://www.marsanhelenedarroze.com,https://guide.michelin.com/en/ile-de-france/paris/restaurant/marsan-par-helene-darroze,"4 rue d'Assas, Paris, 75006, France"
Restaurant Le Meurice Alain Ducasse,2 Stars,Paris,France,Creative,,€€€€,https://www.dorchestercollection.com/paris/le-meurice/dining/restaurant-le-meurice-alain-ducasse,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-meurice-alain-ducasse,"Le Meurice, 228 rue de Rivoli, Paris, 75001, France"
Sushi Yoshinaga,2 Stars,Paris,France,Japanese,,€€€€,https://www.27quatre.com/sushi-yoshinaga,https://guide.michelin.com/en/ile-de-france/paris/restaurant/sushi-yoshinaga,"27 rue du 4-Septembre, Paris, 75002, France"
Table - Bruno Verjus,2 Stars,Paris,France,Creative,,€€€€,https://table.paris/,https://guide.michelin.com/en/ile-de-france/paris/restaurant/table-bruno-verjus,"3 rue de Prague, Paris, 75012, France"
Virtus,2 Stars,Paris,France,"Modern Cuisine, Creative",,€€€€,https://www.virtus-paris.com,https://guide.michelin.com/en/ile-de-france/paris/restaurant/virtus,"29 rue de Cotte, Paris, 75012, France"
L'Auberge des Glazicks,2 Stars,Plomodiern,France,Creative,,€€€€,https://www.aubergedesglazick.com,https://guide.michelin.com/en/bretagne/plomodiern/restaurant/l-auberge-des-glazicks,"7 rue de la Plage, Plomodiern, 29550, France"
Casadelmar,2 Stars,Porto-Vecchio,France,Modern Cuisine,,€€€€,https://www.casadelmar.fr,https://guide.michelin.com/en/corse/porto-vecchio/restaurant/casadelmar,"Route de Palombaggia, Porto-Vecchio, 20137, France"
Le Skiff Club,2 Stars,Pyla-sur-Mer,France,Modern Cuisine,,€€€€,https://haaitza.com/,https://guide.michelin.com/en/nouvelle-aquitaine/pyla-sur-mer/restaurant/le-skiff-club,"Hôtel Ha(a)ïtza, 1 avenue Louis-Gaume, Pyla-sur-Mer, 33115, France"
La Voile - La Réserve Ramatuelle,2 Stars,Ramatuelle,France,Modern Cuisine,,€€€€,https://www.lareserve-ramatuelle.com/restaurant/restaurant-gastronomique-saint-tropez/,https://guide.michelin.com/en/provence-alpes-cote-dazur/ramatuelle/restaurant/la-voile,"Chemin de la Quessine, Ramatuelle, 83350, France"
Arbane,2 Stars,Reims,France,Creative,,€€€€,https://www.arbane-philippe-mille.com,https://guide.michelin.com/en/grand-est/reims/restaurant/arbane,"7 rue Noël, Reims, 51100, France"
Le Parc Les Crayères,2 Stars,Reims,France,Modern Cuisine,,€€€€,https://lescrayeres.com/fr/restaurant-le-parc.html,https://guide.michelin.com/en/grand-est/reims/restaurant/le-parc-les-crayeres,"64 boulevard Henry-Vasnier, Reims, 51100, France"
